	Thu Jul 30 15:42 2015 Time and Allocation Profiling Report  (Final)

	   Main +RTS -p -RTS

	total time  =      105.41 secs   (105405 ticks @ 1000 us, 1 processor)
	total alloc = 47,702,023,680 bytes  (excludes profiling overheads)

COST CENTRE        MODULE                 %time %alloc

heuristic          Chess                   74.3    7.0
movePiece          Chess                   12.6   45.9
block.block'       ChessPiece               4.5    4.1
allActionsForBoard Chess                    2.5   13.4
minmax'            ArtificialIntelligence   2.0    7.6
movementRook.left  ChessPiece               1.8   11.6
transition         Chess                    1.1    6.4
actionsImpl        Chess                    0.5    4.1


                                                                                           individual     inherited
COST CENTRE                                   MODULE                     no.     entries  %time %alloc   %time %alloc

                isOutOfMap                    ChessPiece                 354        1188    0.0    0.0     0.0    0.0
               movementKing.possibleMovements ChessPiece                 350         132    0.0    0.0     0.0    0.0
              movementQueen                   ChessPiece                 301         132    0.0    0.0     0.0    0.0
               movementQueen.\                ChessPiece                 302         264    0.0    0.0     0.0    0.0
                movementBishop                ChessPiece                 337         132    0.0    0.0     0.0    0.0
                 movementBishop.generator     ChessPiece                 338         528    0.0    0.0     0.0    0.0
                  movementBishop.\            ChessPiece                 348         132    0.0    0.0     0.0    0.0
                  movementBishop.\            ChessPiece                 347         132    0.0    0.0     0.0    0.0
                  movementBishop.\            ChessPiece                 343         132    0.0    0.0     0.0    0.0
                  movementBishop.\            ChessPiece                 342         132    0.0    0.0     0.0    0.0
                  block                       ChessPiece                 339         132    0.0    0.0     0.0    0.0
                   block.block'               ChessPiece                 340         528    0.0    0.0     0.0    0.0
                    pieceColor                ChessPiece                 346         264    0.0    0.0     0.0    0.0
                    /=                        ChessPiece                 345         264    0.0    0.0     0.0    0.0
                    ==                        ChessPiece                 344         264    0.0    0.0     0.0    0.0
                    isOutOfMap                ChessPiece                 341         528    0.0    0.0     0.0    0.0
                movementRook                  ChessPiece                 304         132    0.0    0.0     0.0    0.0
                 movementRook.left            ChessPiece                 329         132    0.0    0.0     0.0    0.0
                  block                       ChessPiece                 330         132    0.0    0.0     0.0    0.0
                   block.block'               ChessPiece                 331         132    0.0    0.0     0.0    0.0
                    pieceColor                ChessPiece                 336         132    0.0    0.0     0.0    0.0
                    /=                        ChessPiece                 335         132    0.0    0.0     0.0    0.0
                    ==                        ChessPiece                 334         132    0.0    0.0     0.0    0.0
                    isOutOfMap                ChessPiece                 333         132    0.0    0.0     0.0    0.0
                 movementRook.right           ChessPiece                 321         132    0.0    0.0     0.0    0.0
                  block                       ChessPiece                 322         132    0.0    0.0     0.0    0.0
                   block.block'               ChessPiece                 323         132    0.0    0.0     0.0    0.0
                    pieceColor                ChessPiece                 328         132    0.0    0.0     0.0    0.0
                    /=                        ChessPiece                 327         132    0.0    0.0     0.0    0.0
                    ==                        ChessPiece                 326         132    0.0    0.0     0.0    0.0
                    isOutOfMap                ChessPiece                 325         132    0.0    0.0     0.0    0.0
                 movementRook.down            ChessPiece                 313         132    0.0    0.0     0.0    0.0
                  block                       ChessPiece                 314         132    0.0    0.0     0.0    0.0
                   block.block'               ChessPiece                 315         132    0.0    0.0     0.0    0.0
                    pieceColor                ChessPiece                 320         132    0.0    0.0     0.0    0.0
                    /=                        ChessPiece                 319         132    0.0    0.0     0.0    0.0
                    ==                        ChessPiece                 318         132    0.0    0.0     0.0    0.0
                    isOutOfMap                ChessPiece                 317         132    0.0    0.0     0.0    0.0
                 movementRook.up              ChessPiece                 305         132    0.0    0.0     0.0    0.0
                  block                       ChessPiece                 306         132    0.0    0.0     0.0    0.0
                   block.block'               ChessPiece                 307         132    0.0    0.0     0.0    0.0
                    pieceColor                ChessPiece                 312         132    0.0    0.0     0.0    0.0
                    /=                        ChessPiece                 311         132    0.0    0.0     0.0    0.0
                    ==                        ChessPiece                 310         132    0.0    0.0     0.0    0.0
                    isOutOfMap                ChessPiece                 309         132    0.0    0.0     0.0    0.0
              movementBishop                  ChessPiece                 289         264    0.0    0.0     0.0    0.0
               movementBishop.generator       ChessPiece                 290        1056    0.0    0.0     0.0    0.0
                movementBishop.\              ChessPiece                 300         264    0.0    0.0     0.0    0.0
                movementBishop.\              ChessPiece                 299         264    0.0    0.0     0.0    0.0
                movementBishop.\              ChessPiece                 295         264    0.0    0.0     0.0    0.0
                movementBishop.\              ChessPiece                 294         264    0.0    0.0     0.0    0.0
                block                         ChessPiece                 291         264    0.0    0.0     0.0    0.0
                 block.block'                 ChessPiece                 292        1056    0.0    0.0     0.0    0.0
                  pieceColor                  ChessPiece                 298         528    0.0    0.0     0.0    0.0
                  /=                          ChessPiece                 297         528    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 296         528    0.0    0.0     0.0    0.0
                  isOutOfMap                  ChessPiece                 293        1056    0.0    0.0     0.0    0.0
              movementKnight                  ChessPiece                 279         264    0.0    0.0     0.0    0.0
               movementKnight.\               ChessPiece                 283        2112    0.0    0.0     0.0    0.0
               movementKnight.\               ChessPiece                 282        2112    0.0    0.0     0.0    0.0
                canEat                        ChessPiece                 285         792    0.0    0.0     0.0    0.0
                 /=                           ChessPiece                 287         336    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 288         336    0.0    0.0     0.0    0.0
                 pieceColor                   ChessPiece                 286         336    0.0    0.0     0.0    0.0
               isOutOfMap                     ChessPiece                 281        2112    0.0    0.0     0.0    0.0
               movementKnight.possible        ChessPiece                 280         264    0.0    0.0     0.0    0.0
              movementRook                    ChessPiece                 246         266    0.0    0.0     6.3   15.7
               movementRook.left              ChessPiece                 271         266    1.8   11.6     6.3   15.7
                block                         ChessPiece                 272         266    0.0    0.0     4.5    4.1
                 block.block'                 ChessPiece                 273    34662266    4.5    4.1     4.5    4.1
                  pieceColor                  ChessPiece                 278         219    0.0    0.0     0.0    0.0
                  /=                          ChessPiece                 277         219    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 276         219    0.0    0.0     0.0    0.0
                  isOutOfMap                  ChessPiece                 275    34662266    0.0    0.0     0.0    0.0
               movementRook.right             ChessPiece                 263         266    0.0    0.0     0.0    0.0
                block                         ChessPiece                 264         266    0.0    0.0     0.0    0.0
                 block.block'                 ChessPiece                 265         454    0.0    0.0     0.0    0.0
                  pieceColor                  ChessPiece                 270         239    0.0    0.0     0.0    0.0
                  /=                          ChessPiece                 269         239    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 268         239    0.0    0.0     0.0    0.0
                  isOutOfMap                  ChessPiece                 267         454    0.0    0.0     0.0    0.0
               movementRook.down              ChessPiece                 255         266    0.0    0.0     0.0    0.0
                block                         ChessPiece                 256         266    0.0    0.0     0.0    0.0
                 block.block'                 ChessPiece                 257         349    0.0    0.0     0.0    0.0
                  pieceColor                  ChessPiece                 262         246    0.0    0.0     0.0    0.0
                  /=                          ChessPiece                 261         246    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 260         246    0.0    0.0     0.0    0.0
                  isOutOfMap                  ChessPiece                 259         349    0.0    0.0     0.0    0.0
               movementRook.up                ChessPiece                 247         266    0.0    0.0     0.0    0.0
                block                         ChessPiece                 248         266    0.0    0.0     0.0    0.0
                 block.block'                 ChessPiece                 249         431    0.0    0.0     0.0    0.0
                  pieceColor                  ChessPiece                 254         240    0.0    0.0     0.0    0.0
                  /=                          ChessPiece                 253         240    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 252         240    0.0    0.0     0.0    0.0
                  isOutOfMap                  ChessPiece                 251         431    0.0    0.0     0.0    0.0
              movementPawn                    ChessPiece                 225        1057    0.0    0.0     0.0    0.0
               movementPawn.\                 ChessPiece                 232        1862    0.0    0.0     0.0    0.0
                isOutOfMap                    ChessPiece                 233        1862    0.0    0.0     0.0    0.0
               movementPawn.moveFront         ChessPiece                 229        1057    0.0    0.0     0.0    0.0
                movementPawn.moveFront.\      ChessPiece                 231        1976    0.0    0.0     0.0    0.0
                movementPawn.moveFront.fm     ChessPiece                 230        1057    0.0    0.0     0.0    0.0
               movementPawn.d                 ChessPiece                 228        1057    0.0    0.0     0.0    0.0
               movementPawn.pawnEat           ChessPiece                 226        1057    0.0    0.0     0.0    0.0
                movementPawn.pawnEat.pawnEat' ChessPiece                 227        2114    0.0    0.0     0.0    0.0
                 /=                           ChessPiece                 469          78    0.0    0.0     0.0    0.0
                  ==                          ChessPiece                 470          78    0.0    0.0     0.0    0.0
                 pieceColor                   ChessPiece                 468          78    0.0    0.0     0.0    0.0
              movementImpl.movementKind       ChessPiece                 224        2115    0.0    0.0     0.0    0.0
            actionsImpl.\                     Chess                      218        4232    0.0    0.0     0.0    0.0
             ==                               ChessPiece                 220        4232    0.0    0.0     0.0    0.0
             pieceColor                       ChessPiece                 219        4232    0.0    0.0     0.0    0.0
            boardMap                          ChessPiece                 216         133    0.0    0.0     0.0    0.0
       actionsImpl                            Chess                      153           7    0.0    0.0     0.0    0.0
        allActionsForBoard                    Chess                      158          99    0.0    0.0     0.0    0.0
         allActionsForBoard.\                 Chess                      210         134    0.0    0.0     0.0    0.0
         isKingInDanger                       Chess                      209         134    0.0    0.0     0.0    0.0
         isPieceInDanger                      Chess                      208         134    0.0    0.0     0.0    0.0
         allActionsForBoard.\                 Chess                      207         134    0.0    0.0     0.0    0.0
          getNotation                         AlgebraicChessNotation     438           6    0.0    0.0     0.0    0.0
           positionToChess                    AlgebraicChessNotation     439          12    0.0    0.0     0.0    0.0
          enemyColor                          Chess                      221          61    0.0    0.0     0.0    0.0
          movePiece                           Chess                      217         133    0.0    0.0     0.0    0.0
         movementImpl                         ChessPiece                 160          99    0.0    0.0     0.0    0.0
          movementKing                        ChessPiece                 428           6    0.0    0.0     0.0    0.0
           movementKing.\                     ChessPiece                 432          54    0.0    0.0     0.0    0.0
            canEat                            ChessPiece                 434          30    0.0    0.0     0.0    0.0
             /=                               ChessPiece                 436          30    0.0    0.0     0.0    0.0
              ==                              ChessPiece                 437          30    0.0    0.0     0.0    0.0
             pieceColor                       ChessPiece                 435          30    0.0    0.0     0.0    0.0
            isOutOfMap                        ChessPiece                 433          54    0.0    0.0     0.0    0.0
           movementKing.possibleMovements     ChessPiece                 429           6    0.0    0.0     0.0    0.0
          movementQueen                       ChessPiece                 381           6    0.0    0.0     0.0    0.0
           movementQueen.\                    ChessPiece                 382          12    0.0    0.0     0.0    0.0
            movementBishop                    ChessPiece                 416           6    0.0    0.0     0.0    0.0
             movementBishop.generator         ChessPiece                 417          24    0.0    0.0     0.0    0.0
